experiment,tau,step,train_success,mean_reward,entropy,grad_norm,response_len,eval_success
baseline,,1,0.09,0.16,1.05,1.49,362.98,
baseline,,2,0.12,0.19,1.09,1.47,323.78,
baseline,,3,0.05,0.11,1.01,1.35,344.88,
baseline,,4,0.14,0.21,1.0,1.74,303.77,
baseline,,5,0.22,0.3,0.97,1.45,320.98,
baseline,,6,0.06,0.14,0.89,1.64,272.64,
baseline,,7,0.08,0.16,0.95,1.69,274.59,
baseline,,8,0.05,0.14,0.87,1.8,253.08,
baseline,,9,0.06,0.15,0.89,1.87,229.8,
baseline,,10,0.05,0.13,0.86,2.17,203.92,
baseline,,11,0.08,0.18,0.87,2.11,159.33,0.12
baseline,,12,0.02,0.11,0.89,2.02,189.48,
baseline,,13,0.08,0.17,0.86,2.56,127.77,
baseline,,14,0.08,0.17,0.77,1.89,124.59,
baseline,,15,0.27,0.36,0.76,2.22,114.11,
baseline,,16,0.12,0.22,0.8,1.98,130.2,
baseline,,17,0.05,0.14,0.75,2.38,121.34,
baseline,,18,0.17,0.27,0.71,2.72,110.61,
baseline,,19,0.08,0.18,0.69,2.09,125.16,
baseline,,20,0.06,0.16,0.71,2.98,97.94,
baseline,,21,0.09,0.19,0.68,2.61,103.05,0.11
baseline,,22,0.03,0.13,0.75,1.26,107.89,
baseline,,23,0.05,0.15,0.73,2.41,117.88,
baseline,,24,0.06,0.16,0.78,1.84,107.89,
baseline,,25,0.05,0.15,0.74,1.25,110.44,
baseline,,26,0.12,0.22,0.81,2.52,116.11,
baseline,,27,0.09,0.19,0.77,1.94,107.67,
baseline,,28,0.03,0.13,0.76,1.61,113.55,
baseline,,29,0.06,0.16,0.75,1.16,109.78,
baseline,,30,0.06,0.16,0.73,1.95,101.52,
baseline,,31,0.09,0.19,0.62,2.84,101.83,0.12
baseline,,32,0.23,0.33,0.6,3.3,93.75,
baseline,,33,0.08,0.18,0.49,2.33,106.17,
baseline,,34,0.16,0.25,0.51,2.25,102.3,
baseline,,35,0.17,0.27,0.52,3.06,95.09,
baseline,,36,0.2,0.3,0.49,3.11,108.94,
baseline,,37,0.17,0.27,0.52,2.52,105.16,
baseline,,38,0.31,0.41,0.48,2.97,82.08,
baseline,,39,0.09,0.19,0.47,2.44,102.25,
baseline,,40,0.19,0.29,0.43,2.03,95.47,
baseline,,41,0.11,0.21,0.42,1.7,78.47,0.14
baseline,,42,0.05,0.15,0.45,3.03,99.86,
baseline,,43,0.08,0.18,0.41,2.0,87.8,
baseline,,44,0.17,0.27,0.38,1.92,84.16,
baseline,,45,0.22,0.32,0.42,2.19,81.59,
baseline,,46,0.17,0.27,0.42,2.11,84.89,
baseline,,47,0.03,0.13,0.38,1.06,90.67,
baseline,,48,0.17,0.27,0.39,2.31,76.89,
baseline,,49,0.2,0.3,0.42,2.73,67.06,
baseline,,50,0.2,0.3,0.41,3.17,63.02,
baseline,,51,0.0,0.1,0.46,0.0,69.52,0.14
baseline,,52,0.16,0.26,0.41,3.38,58.86,
baseline,,53,0.05,0.15,0.39,1.11,57.73,
baseline,,54,0.17,0.27,0.32,3.5,61.5,
baseline,,55,0.27,0.37,0.3,2.83,53.61,
baseline,,56,0.09,0.19,0.33,1.49,53.95,
baseline,,57,0.17,0.27,0.27,3.3,52.84,
baseline,,58,0.23,0.33,0.25,2.41,50.08,
baseline,,59,0.09,0.19,0.25,2.12,50.88,
baseline,,60,0.28,0.38,0.21,2.94,50.03,
baseline,,61,0.23,0.33,0.17,3.95,46.08,0.17
baseline,,62,0.16,0.26,0.18,1.66,45.34,
baseline,,63,0.25,0.35,0.14,2.34,44.45,
baseline,,64,0.06,0.16,0.17,2.42,46.44,
baseline,,65,0.23,0.33,0.15,2.58,46.7,
baseline,,66,0.22,0.32,0.15,2.86,48.81,
baseline,,67,0.14,0.24,0.17,2.55,48.91,
baseline,,68,0.17,0.27,0.15,6.34,46.33,
baseline,,69,0.22,0.32,0.19,3.64,47.89,
baseline,,70,0.17,0.27,0.18,3.81,47.09,
baseline,,71,0.23,0.33,0.19,1.68,50.41,0.17
baseline,,72,0.25,0.35,0.26,4.22,64.31,
baseline,,73,0.19,0.29,0.24,2.17,55.48,
baseline,,74,0.14,0.24,0.19,1.83,48.09,
baseline,,75,0.16,0.26,0.16,4.25,46.16,
baseline,,76,0.02,0.12,0.16,2.89,44.89,
baseline,,77,0.0,0.1,0.17,0.0,47.39,
baseline,,78,0.25,0.35,0.16,0.0,43.61,
baseline,,79,0.11,0.21,0.16,3.64,46.14,
baseline,,80,0.05,0.15,0.18,3.3,46.52,
baseline,,81,0.16,0.26,0.16,2.28,43.92,0.14
baseline,,82,0.12,0.23,0.17,0.0,44.56,
baseline,,83,0.2,0.3,0.16,3.23,42.91,
baseline,,84,0.17,0.27,0.16,4.44,42.62,
baseline,,85,0.08,0.18,0.16,2.03,45.53,
baseline,,86,0.22,0.32,0.14,5.84,44.95,
baseline,,87,0.12,0.23,0.13,0.0,44.02,
baseline,,88,0.23,0.33,0.14,3.92,43.89,
baseline,,89,0.11,0.21,0.12,3.5,42.88,
baseline,,90,0.27,0.37,0.14,2.88,41.7,
baseline,,91,0.14,0.24,0.1,5.41,40.62,0.12
baseline,,92,0.14,0.24,0.09,2.36,39.52,
baseline,,93,0.0,0.1,0.08,0.0,41.2,
baseline,,94,0.0,0.1,0.08,0.0,38.78,
baseline,,95,0.28,0.38,0.07,2.94,40.12,
baseline,,96,0.12,0.23,0.07,2.16,40.05,
baseline,,97,0.14,0.24,0.08,1.41,38.98,
baseline,,98,0.5,0.6,0.06,0.0,37.88,
baseline,,99,0.2,0.3,0.07,1.8,41.09,
baseline,,100,0.25,0.35,0.06,0.0,40.94,
baseline,,101,0.28,0.38,0.07,4.31,39.41,0.14
baseline,,102,0.16,0.26,0.09,3.11,41.95,
baseline,,103,0.2,0.3,0.07,3.36,41.94,
baseline,,104,0.14,0.24,0.07,4.97,38.92,
baseline,,105,0.17,0.27,0.05,3.95,37.36,
baseline,,106,0.0,0.1,0.06,0.0,39.3,
baseline,,107,0.14,0.24,0.07,3.8,37.27,
baseline,,108,0.0,0.1,0.04,0.0,37.78,
baseline,,109,0.11,0.21,0.06,2.48,37.77,
baseline,,110,0.12,0.23,0.05,0.0,36.77,
baseline,,111,0.11,0.21,0.05,2.5,37.94,0.17
baseline,,112,0.25,0.35,0.04,0.0,37.11,
baseline,,113,0.09,0.19,0.06,2.81,37.69,
baseline,,114,0.0,0.1,0.06,0.0,36.72,
baseline,,115,0.16,0.26,0.05,5.72,36.88,
baseline,,116,0.25,0.35,0.04,0.0,36.58,
baseline,,117,0.3,0.4,0.05,3.72,38.52,
baseline,,118,0.14,0.24,0.05,2.31,37.69,
baseline,,119,0.02,0.12,0.05,2.44,35.95,
baseline,,120,0.06,0.16,0.06,4.69,36.7,
baseline,,121,0.25,0.35,0.05,3.52,37.83,0.12
baseline,,122,0.25,0.35,0.04,3.72,36.61,
baseline,,123,0.25,0.35,0.05,0.0,36.55,
baseline,,124,0.02,0.12,0.04,2.97,38.14,
baseline,,125,0.12,0.23,0.03,4.69,36.41,
baseline,,126,0.39,0.49,0.03,1.2,36.86,
baseline,,127,0.16,0.26,0.05,5.34,37.41,
baseline,,128,0.44,0.54,0.04,13.31,37.02,
baseline,,129,0.25,0.35,0.07,0.0,38.38,
baseline,,130,0.14,0.24,0.08,2.89,41.97,
baseline,,131,0.09,0.19,0.1,3.61,43.95,0.12
baseline,,132,0.08,0.18,0.08,3.03,44.7,
baseline,,133,0.14,0.24,0.08,4.78,46.84,
softmax_tau0.5,0.5,1,0.09,0.16,1.05,1.94,362.98,
softmax_tau0.5,0.5,2,0.09,0.15,0.91,1.8,331.45,
softmax_tau0.5,0.5,3,0.03,0.08,0.84,1.78,325.52,
softmax_tau0.5,0.5,4,0.16,0.19,0.79,3.39,167.33,
softmax_tau0.5,0.5,5,0.05,0.08,0.64,3.03,137.7,
softmax_tau0.5,0.5,6,0.03,0.06,0.53,3.77,104.41,
softmax_tau0.5,0.5,7,0.05,0.08,0.49,3.34,135.66,
softmax_tau0.5,0.5,8,0.05,0.1,0.56,2.12,195.17,
softmax_tau0.5,0.5,9,0.05,0.1,0.58,2.52,183.92,
softmax_tau0.5,0.5,10,0.08,0.14,0.53,2.34,188.25,
softmax_tau0.5,0.5,11,0.11,0.17,0.52,2.89,166.84,0.16
softmax_tau0.5,0.5,12,0.06,0.13,0.46,2.09,198.58,
softmax_tau0.5,0.5,13,0.05,0.1,0.37,4.25,107.59,
softmax_tau0.5,0.5,14,0.02,0.07,0.34,4.41,83.64,
softmax_tau0.5,0.5,15,0.27,0.33,0.43,3.39,94.48,
softmax_tau0.5,0.5,16,0.38,0.43,0.33,3.44,105.0,
softmax_tau0.5,0.5,17,0.08,0.13,0.38,2.42,170.31,
softmax_tau0.5,0.5,18,0.22,0.28,0.43,2.25,174.11,
softmax_tau0.5,0.5,19,0.27,0.32,0.4,1.92,187.47,
softmax_tau0.5,0.5,20,0.11,0.16,0.42,1.86,201.05,
softmax_tau0.5,0.5,21,0.5,0.56,0.35,2.3,163.22,0.19
softmax_tau0.5,0.5,22,0.16,0.21,0.38,1.65,240.27,
softmax_tau0.5,0.5,23,0.34,0.4,0.39,1.59,227.53,
softmax_tau0.5,0.5,24,0.23,0.29,0.39,1.74,241.33,
softmax_tau0.5,0.5,25,0.2,0.25,0.41,1.49,305.44,
softmax_tau0.5,0.5,26,0.38,0.43,0.41,1.63,272.62,
softmax_tau0.5,0.5,27,0.38,0.43,0.44,1.84,237.22,
softmax_tau0.5,0.5,28,0.12,0.17,0.45,1.46,339.19,
softmax_tau0.5,0.5,29,0.22,0.27,0.42,1.45,309.64,
softmax_tau0.5,0.5,30,0.38,0.43,0.46,1.52,290.91,
softmax_tau0.5,0.5,31,0.3,0.35,0.45,1.77,259.53,0.22
softmax_tau0.5,0.5,32,0.36,0.41,0.43,1.5,295.53,
softmax_tau0.5,0.5,33,0.19,0.24,0.45,1.47,348.38,
softmax_tau0.5,0.5,34,0.33,0.38,0.45,1.39,327.89,
softmax_tau0.5,0.5,35,0.28,0.33,0.49,1.46,301.19,
softmax_tau0.5,0.5,36,0.36,0.41,0.49,1.41,302.52,
softmax_tau0.5,0.5,37,0.48,0.54,0.45,1.6,263.44,
softmax_tau0.5,0.5,38,0.47,0.52,0.43,1.64,260.89,
softmax_tau0.5,0.5,39,0.2,0.25,0.51,1.27,349.06,
softmax_tau0.5,0.5,40,0.28,0.32,0.46,1.16,355.78,
softmax_tau0.5,0.5,41,0.34,0.39,0.51,1.37,294.02,0.31
softmax_tau0.5,0.5,42,0.16,0.21,0.52,1.33,385.23,
softmax_tau0.5,0.5,43,0.17,0.21,0.48,1.56,385.94,
softmax_tau0.5,0.5,44,0.28,0.33,0.49,1.28,345.41,
softmax_tau0.5,0.5,45,0.25,0.3,0.51,1.36,339.42,
softmax_tau0.5,0.5,46,0.22,0.26,0.54,1.54,371.42,
softmax_tau0.5,0.5,47,0.17,0.22,0.45,1.15,394.06,
softmax_tau0.5,0.5,48,0.42,0.47,0.46,1.27,304.06,
softmax_tau0.5,0.5,49,0.34,0.4,0.52,1.5,329.88,
softmax_tau0.5,0.5,50,0.28,0.33,0.57,1.48,354.34,
softmax_tau0.5,0.5,51,0.03,0.07,0.43,1.3,425.03,0.38
softmax_tau0.5,0.5,52,0.16,0.2,0.48,1.41,377.23,
softmax_tau0.5,0.5,53,0.08,0.11,0.45,1.19,425.14,
softmax_tau0.5,0.5,54,0.34,0.39,0.45,1.21,355.08,
softmax_tau0.5,0.5,55,0.38,0.42,0.41,1.33,320.89,
softmax_tau0.5,0.5,56,0.11,0.16,0.44,1.2,415.06,
softmax_tau0.5,0.5,57,0.33,0.38,0.43,1.2,365.45,
softmax_tau0.5,0.5,58,0.34,0.39,0.42,1.23,360.53,
softmax_tau0.5,0.5,59,0.31,0.36,0.45,1.23,374.23,
softmax_tau0.5,0.5,60,0.22,0.26,0.45,1.3,368.09,
softmax_tau0.5,0.5,61,0.19,0.23,0.46,1.16,388.14,0.34
softmax_tau0.5,0.5,62,0.19,0.23,0.38,1.18,431.39,
softmax_tau0.5,0.5,63,0.3,0.34,0.41,1.2,371.72,
softmax_tau0.5,0.5,64,0.19,0.23,0.42,1.2,406.34,
softmax_tau0.5,0.5,65,0.39,0.44,0.42,1.95,350.45,
softmax_tau0.5,0.5,66,0.3,0.34,0.42,1.2,385.86,
softmax_tau0.5,0.5,67,0.3,0.35,0.41,1.16,383.75,
softmax_tau0.5,0.5,68,0.33,0.38,0.4,1.21,360.81,
softmax_tau0.5,0.5,69,0.28,0.33,0.37,1.2,388.36,
softmax_tau0.5,0.5,70,0.17,0.21,0.38,1.25,417.56,
softmax_tau0.5,0.5,71,0.23,0.28,0.38,1.08,402.47,0.41
softmax_tau0.5,0.5,72,0.59,0.65,0.38,1.27,318.53,
softmax_tau0.5,0.5,73,0.33,0.37,0.38,1.04,400.92,
softmax_tau0.5,0.5,74,0.42,0.47,0.35,1.23,349.69,
softmax_tau0.5,0.5,75,0.27,0.31,0.35,1.25,400.02,
softmax_tau0.5,0.5,76,0.09,0.14,0.34,1.06,427.27,
softmax_tau0.5,0.5,77,0.23,0.28,0.34,1.02,415.69,
softmax_tau0.5,0.5,78,0.38,0.43,0.37,1.23,375.7,
softmax_tau0.5,0.5,79,0.33,0.37,0.35,1.17,379.41,
softmax_tau0.5,0.5,80,0.47,0.52,0.33,1.03,388.8,
softmax_tau0.25,0.25,1,0.09,0.16,1.05,2.52,362.98,
softmax_tau0.25,0.25,2,0.14,0.2,0.94,3.05,321.83,
softmax_tau0.25,0.25,3,0.05,0.11,0.81,2.0,364.41,
softmax_tau0.25,0.25,4,0.08,0.14,0.74,2.11,364.08,
softmax_tau0.25,0.25,5,0.2,0.26,0.72,2.48,358.12,
softmax_tau0.25,0.25,6,0.03,0.09,0.73,1.43,399.78,
softmax_tau0.25,0.25,7,0.06,0.12,0.69,1.4,394.11,
softmax_tau0.25,0.25,8,0.08,0.13,0.71,1.76,419.47,
softmax_tau0.25,0.25,9,0.06,0.11,0.78,2.03,401.64,
softmax_tau0.25,0.25,10,0.12,0.18,0.69,2.0,405.53,
softmax_tau0.25,0.25,11,0.16,0.2,0.72,1.87,400.78,0.2
softmax_tau0.25,0.25,12,0.08,0.12,0.7,2.02,419.14,
softmax_tau0.25,0.25,13,0.16,0.2,0.7,1.91,402.77,
softmax_tau0.25,0.25,14,0.23,0.27,0.7,1.42,438.14,
softmax_tau0.25,0.25,15,0.33,0.38,0.63,1.55,359.91,
softmax_tau0.25,0.25,16,0.33,0.37,0.6,2.14,390.94,
softmax_tau0.25,0.25,17,0.11,0.15,0.62,2.34,406.16,
softmax_tau0.25,0.25,18,0.23,0.27,0.63,1.74,416.86,
softmax_tau0.25,0.25,19,0.28,0.32,0.59,1.98,406.56,
softmax_tau0.25,0.25,20,0.31,0.36,0.57,1.72,360.64,
softmax_tau0.25,0.25,21,0.42,0.47,0.55,2.23,335.75,0.3
softmax_tau0.25,0.25,22,0.14,0.17,0.56,1.55,436.22,
softmax_tau0.25,0.25,23,0.25,0.28,0.55,1.83,429.92,
softmax_tau0.25,0.25,24,0.28,0.32,0.57,1.49,399.28,
softmax_tau0.25,0.25,25,0.14,0.18,0.59,1.92,409.66,
softmax_tau0.25,0.25,26,0.33,0.37,0.52,1.45,374.41,
softmax_tau0.25,0.25,27,0.52,0.56,0.52,2.08,379.06,
softmax_tau0.25,0.25,28,0.16,0.19,0.55,1.99,445.8,
softmax_tau0.25,0.25,29,0.38,0.42,0.49,1.77,363.38,
softmax_tau0.25,0.25,30,0.34,0.39,0.51,2.11,363.78,
softmax_tau0.25,0.25,31,0.34,0.39,0.49,2.47,373.47,0.27
softmax_tau0.25,0.25,32,0.44,0.48,0.48,1.9,386.14,
softmax_tau0.25,0.25,33,0.27,0.3,0.48,1.79,406.98,
softmax_tau0.25,0.25,34,0.36,0.4,0.51,1.62,442.69,
softmax_tau0.25,0.25,35,0.39,0.43,0.47,1.62,388.59,
softmax_tau0.25,0.25,36,0.38,0.41,0.48,1.59,402.94,
softmax_tau0.25,0.25,37,0.58,0.63,0.43,1.53,343.7,
softmax_tau0.25,0.25,38,0.61,0.66,0.41,1.95,351.09,
softmax_tau0.25,0.25,39,0.22,0.25,0.45,1.27,446.7,
softmax_tau0.25,0.25,40,0.34,0.38,0.38,1.28,412.27,
softmax_tau0.25,0.25,41,0.31,0.35,0.43,1.45,411.05,0.38
softmax_tau0.25,0.25,42,0.16,0.19,0.42,1.59,444.72,
softmax_tau0.25,0.25,43,0.12,0.15,0.41,1.5,472.03,
softmax_tau0.25,0.25,44,0.27,0.3,0.42,1.59,415.06,
softmax_tau0.25,0.25,45,0.28,0.32,0.43,1.41,410.14,
softmax_tau0.25,0.25,46,0.3,0.34,0.44,1.63,414.73,
softmax_tau0.25,0.25,47,0.17,0.21,0.42,1.7,424.58,
softmax_tau0.25,0.25,48,0.45,0.5,0.4,2.03,374.31,
softmax_tau0.25,0.25,49,0.38,0.42,0.45,1.86,410.56,
softmax_tau0.25,0.25,50,0.45,0.5,0.43,1.66,375.3,
softmax_tau0.25,0.25,51,0.0,0.02,0.46,1.11,492.55,0.31
softmax_tau0.25,0.25,52,0.31,0.35,0.44,1.9,397.52,
softmax_tau0.25,0.25,53,0.06,0.1,0.45,1.38,456.52,
softmax_tau0.25,0.25,54,0.41,0.45,0.45,1.34,370.0,
softmax_tau0.25,0.25,55,0.36,0.4,0.46,1.41,369.62,
softmax_tau0.25,0.25,56,0.22,0.26,0.47,1.94,429.97,
softmax_tau0.25,0.25,57,0.27,0.31,0.48,1.67,412.27,
softmax_tau0.25,0.25,58,0.28,0.32,0.45,1.31,394.42,
softmax_tau0.25,0.25,59,0.27,0.3,0.5,1.5,414.73,
softmax_tau0.25,0.25,60,0.33,0.37,0.46,1.69,385.77,
softmax_tau0.25,0.25,61,0.2,0.24,0.5,1.66,441.06,0.3
softmax_tau0.25,0.25,62,0.2,0.23,0.48,1.52,432.3,
softmax_tau0.25,0.25,63,0.31,0.35,0.45,1.3,396.41,
softmax_tau0.25,0.25,64,0.25,0.29,0.47,1.5,416.44,
softmax_tau0.75,0.75,1,0.09,0.16,1.05,1.75,362.98,
softmax_tau0.75,0.75,2,0.06,0.11,0.95,1.63,360.25,
softmax_tau0.75,0.75,3,0.05,0.09,0.83,1.43,379.77,
softmax_tau0.75,0.75,4,0.14,0.19,0.81,1.56,328.31,
softmax_tau0.75,0.75,5,0.11,0.16,0.82,1.63,340.25,
softmax_tau0.75,0.75,6,0.05,0.1,0.77,1.61,357.73,
softmax_tau0.75,0.75,7,0.05,0.1,0.76,1.63,371.64,
softmax_tau0.75,0.75,8,0.02,0.07,0.79,1.59,350.67,
softmax_tau0.75,0.75,9,0.03,0.09,0.8,1.45,356.86,
softmax_tau0.75,0.75,10,0.03,0.09,0.77,1.57,375.81,
softmax_tau0.75,0.75,11,0.05,0.11,0.76,1.52,361.42,0.03
softmax_tau0.75,0.75,12,0.08,0.13,0.79,1.63,362.22,
softmax_tau0.75,0.75,13,0.06,0.12,0.77,1.59,336.23,
softmax_tau0.75,0.75,14,0.06,0.12,0.79,1.5,371.39,
softmax_tau0.75,0.75,15,0.06,0.12,0.8,1.57,344.66,
softmax_tau0.75,0.75,16,0.11,0.17,0.79,1.63,337.48,
softmax_tau0.75,0.75,17,0.0,0.06,0.74,1.39,376.95,
softmax_tau0.75,0.75,18,0.05,0.11,0.85,1.58,363.48,
softmax_tau0.75,0.75,19,0.06,0.12,0.77,1.58,353.86,
softmax_tau0.75,0.75,20,0.08,0.14,0.83,1.61,327.45,
softmax_tau0.75,0.75,21,0.11,0.17,0.86,1.66,331.83,0.02
softmax_tau0.75,0.75,22,0.03,0.09,0.87,1.45,362.0,
softmax_tau0.75,0.75,23,0.02,0.08,0.84,1.53,351.56,
softmax_tau0.75,0.75,24,0.03,0.09,0.81,1.66,326.52,
softmax_tau0.75,0.75,25,0.03,0.09,0.83,1.46,365.0,
softmax_tau0.75,0.75,26,0.05,0.11,0.83,1.73,328.7,
softmax_tau0.75,0.75,27,0.14,0.2,0.84,1.7,319.52,
softmax_tau0.75,0.75,28,0.02,0.08,0.86,1.48,406.16,
softmax_tau0.75,0.75,29,0.03,0.1,0.77,1.6,330.02,
softmax_tau0.75,0.75,30,0.05,0.11,0.81,1.65,313.09,
softmax_tau0.75,0.75,31,0.08,0.14,0.81,1.67,350.17,
softmax_tau0.75,0.75,32,0.11,0.17,0.78,1.59,370.31,
softmax_tau0.75,0.75,33,0.05,0.11,0.79,1.63,358.08,
softmax_tau0.75,0.75,34,0.03,0.09,0.79,1.54,373.75,
softmax_tau0.75,0.75,35,0.09,0.16,0.75,1.67,344.06,
softmax_tau0.75,0.75,36,0.05,0.11,0.79,1.62,363.09,
softmax_tau0.75,0.75,37,0.14,0.21,0.75,1.62,350.72,
softmax_tau0.75,0.75,38,0.11,0.17,0.78,1.68,368.34,
softmax_tau0.75,0.75,39,0.06,0.12,0.79,1.55,369.86,
softmax_tau0.75,0.75,40,0.03,0.09,0.8,1.52,419.84,
softmax_tau0.75,0.75,41,0.05,0.11,0.82,1.51,400.88,0.06
softmax_tau0.75,0.75,42,0.0,0.06,0.76,1.41,422.72,
softmax_tau0.75,0.75,43,0.0,0.06,0.83,1.47,424.27,
softmax_tau0.75,0.75,44,0.02,0.08,0.8,1.45,406.53,
softmax_tau0.75,0.75,45,0.06,0.13,0.82,1.52,437.55,
softmax_tau0.75,0.75,46,0.03,0.09,0.83,1.41,440.66,
softmax_tau0.75,0.75,47,0.02,0.08,0.83,1.32,477.7,
softmax_tau1.0,1.0,1,0.09,0.16,1.05,1.69,362.98,
softmax_tau1.0,1.0,2,0.09,0.15,0.91,1.6,340.08,
softmax_tau1.0,1.0,3,0.06,0.12,0.84,1.66,339.14,
softmax_tau1.0,1.0,4,0.22,0.27,0.84,1.67,299.05,
softmax_tau1.0,1.0,5,0.12,0.16,0.75,2.27,235.14,
softmax_tau1.0,1.0,6,0.06,0.1,0.74,3.25,236.81,
softmax_tau1.0,1.0,7,0.02,0.04,0.83,2.38,179.19,
softmax_tau1.0,1.0,8,0.02,0.03,0.81,2.75,143.39,
softmax_tau1.0,1.0,9,0.0,0.01,0.79,2.69,120.5,
softmax_tau1.0,1.0,10,0.0,0.01,0.78,2.59,121.44,
softmax_tau1.0,1.0,11,0.0,0.01,0.72,3.14,112.42,
softmax_tau1.0,1.0,12,0.0,0.01,0.75,2.75,107.88,
softmax_tau1.0,1.0,13,0.0,0.01,0.73,2.75,99.2,
softmax_tau1.0,1.0,14,0.0,0.01,0.67,2.86,86.42,
softmax_tau1.0,1.0,15,0.0,0.01,0.66,2.94,81.3,
softmax_tau1.0,1.0,16,0.0,0.01,0.56,3.25,72.47,
softmax_tau1.0,1.0,17,0.0,0.01,0.54,3.27,72.16,
softmax_tau1.0,1.0,18,0.0,0.01,0.54,3.3,61.0,
softmax_tau1.0,1.0,19,0.0,0.01,0.51,3.33,62.14,
softmax_tau1.0,1.0,20,0.0,0.01,0.43,3.39,51.98,
softmax_tau1.0,1.0,21,0.0,0.01,0.4,3.48,50.39,
softmax_tau1.0,1.0,22,0.0,0.01,0.4,3.05,51.41,
softmax_tau1.0,1.0,23,0.0,0.01,0.31,3.17,40.86,
softmax_tau1.0,1.0,24,0.0,0.01,0.43,4.31,45.41,
softmax_tau1.0,1.0,25,0.0,0.01,0.28,4.09,39.38,
softmax_tau1.0,1.0,26,0.0,0.01,0.4,5.09,47.25,
softmax_tau1.0,1.0,27,0.0,0.01,0.31,3.95,40.25,
softmax_tau1.0,1.0,28,0.0,0.01,0.29,5.19,38.56,
softmax_tau1.0,1.0,29,0.0,0.01,0.3,4.38,39.81,
softmax_tau1.0,1.0,30,0.0,0.01,0.31,4.22,40.22,
softmax_tau1.0,1.0,31,0.0,0.01,0.36,5.0,45.08,
softmax_tau1.0,1.0,32,0.0,0.01,0.26,5.0,42.77,
softmax_tau1.0,1.0,33,0.02,0.03,0.39,5.03,55.38,
softmax_tau1.0,1.0,34,0.05,0.06,0.38,3.95,71.55,
softmax_tau1.0,1.0,35,0.03,0.05,0.47,5.25,74.67,
softmax_tau1.0,1.0,36,0.03,0.06,0.47,5.59,79.47,
softmax_tau1.0,1.0,37,0.05,0.08,0.47,3.69,132.81,
softmax_tau1.0,1.0,38,0.19,0.23,0.44,4.03,131.09,
softmax_tau1.0,1.0,39,0.05,0.09,0.54,3.08,193.69,
softmax_tau1.0,1.0,40,0.08,0.12,0.49,3.48,182.95,
softmax_tau1.0,1.0,41,0.06,0.11,0.49,2.88,211.14,0.05
softmax_tau1.0,1.0,42,0.0,0.04,0.56,2.98,208.23,
softmax_tau1.0,1.0,43,0.05,0.1,0.58,2.33,279.23,
softmax_tau1.0,1.0,44,0.03,0.07,0.59,2.47,247.22,
softmax_tau1.0,1.0,45,0.05,0.09,0.62,2.66,272.89,
softmax_tau1.0,1.0,46,0.05,0.09,0.64,2.28,286.31,
softmax_tau1.0,1.0,47,0.05,0.09,0.65,2.2,292.38,
softmax_tau1.0,1.0,48,0.03,0.08,0.65,1.95,322.89,
softmax_tau1.0,1.0,49,0.05,0.09,0.65,2.44,301.58,
softmax_tau1.0,1.0,50,0.12,0.17,0.65,2.36,302.2,
softmax_tau1.0,1.0,51,0.0,0.05,0.65,1.98,348.98,0.06
softmax_tau1.0,1.0,52,0.06,0.12,0.61,1.98,323.66,
softmax_tau1.0,1.0,53,0.0,0.04,0.63,1.79,365.58,
softmax_tau1.0,1.0,54,0.05,0.09,0.61,1.89,351.77,
softmax_tau1.0,1.0,55,0.08,0.13,0.59,1.9,358.55,
softmax_tau1.0,1.0,56,0.06,0.11,0.59,2.05,353.31,
softmax_tau1.0,1.0,57,0.14,0.2,0.55,2.02,325.66,
softmax_tau1.0,1.0,58,0.08,0.13,0.55,2.2,311.45,
softmax_tau1.0,1.0,59,0.09,0.14,0.55,2.02,354.3,
softmax_tau1.0,1.0,60,0.11,0.16,0.56,2.03,341.59,
softmax_tau1.0,1.0,61,0.08,0.13,0.59,2.08,343.05,0.09
softmax_tau1.0,1.0,62,0.06,0.11,0.56,1.97,369.73,
softmax_tau1.0,1.0,63,0.08,0.13,0.54,2.0,330.38,
softmax_tau1.0,1.0,64,0.06,0.11,0.54,2.16,346.84,
softmax_tau1.0,1.0,65,0.14,0.19,0.52,2.31,328.61,
softmax_tau1.0,1.0,66,0.05,0.1,0.54,2.08,357.52,
softmax_tau1.0,1.0,67,0.06,0.12,0.53,2.39,342.16,
softmax_tau1.0,1.0,68,0.14,0.2,0.52,2.5,296.59,
softmax_tau1.0,1.0,69,0.08,0.13,0.53,2.09,336.75,
softmax_tau1.0,1.0,70,0.05,0.1,0.55,2.06,335.81,
